,Code du departement,Libelle du departement,Code de la circonscription,Libelle de la circonscription,Code de la commune,Libelle de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimes,% Exp/Ins,% Exp/Vot,No Panneau,Sexe,Nom,Prenom,Voix,% Voix/Ins,% Voix/Exp,No Panneau2,Sexe2,Nom2,Prenom2,Voix2,% Voix/Ins2,% Voix/Exp2
51783,75.0,Paris,7,7eme circonscription,56,Paris,1107.0,1484,260,"17,52",1224,"82,48",51,"3,44","4,17",20,"1,35","1,63",1153,"77,7","94,2",1,M,MACRON,Emmanuel,1091,"73,52","94,62",2,F,LE PEN,Marine,62,"4,18","5,38"
51784,75.0,Paris,7,7eme circonscription,56,Paris,1108.0,1461,272,"18,62",1189,"81,38",64,"4,38","5,38",12,"0,82","1,01",1113,"76,18","93,61",1,M,MACRON,Emmanuel,1050,"71,87","94,34",2,F,LE PEN,Marine,63,"4,31","5,66"
51785,75.0,Paris,7,7eme circonscription,56,Paris,1109.0,1551,284,"18,31",1267,"81,69",48,"3,09","3,79",14,"0,9","1,1",1205,"77,69","95,11",1,M,MACRON,Emmanuel,1128,"72,73","93,61",2,F,LE PEN,Marine,77,"4,96","6,39"
51786,75.0,Paris,7,7eme circonscription,56,Paris,1110.0,1526,279,"18,28",1247,"81,72",66,"4,33","5,29",14,"0,92","1,12",1167,"76,47","93,58",1,M,MACRON,Emmanuel,1051,"68,87","90,06",2,F,LE PEN,Marine,116,"7,6","9,94"
51787,75.0,Paris,7,7eme circonscription,56,Paris,1111.0,1696,316,"18,63",1380,"81,37",65,"3,83","4,71",4,"0,24","0,29",1311,"77,3",95,1,M,MACRON,Emmanuel,1235,"72,82","94,2",2,F,LE PEN,Marine,76,"4,48","5,8"
51788,75.0,Paris,7,7eme circonscription,56,Paris,1112.0,1548,297,"19,19",1251,"80,81",63,"4,07","5,04",16,"1,03","1,28",1172,"75,71","93,69",1,M,MACRON,Emmanuel,1105,"71,38","94,28",2,F,LE PEN,Marine,67,"4,33","5,72"
51789,75.0,Paris,7,7eme circonscription,56,Paris,1113.0,1630,297,"18,22",1333,"81,78",48,"2,94","3,6",13,"0,8","0,98",1272,"78,04","95,42",1,M,MACRON,Emmanuel,1176,"72,15","92,45",2,F,LE PEN,Marine,96,"5,89","7,55"
51790,75.0,Paris,7,7eme circonscription,56,Paris,1114.0,1689,333,"19,72",1356,"80,28",60,"3,55","4,42",22,"1,3","1,62",1274,"75,43","93,95",1,M,MACRON,Emmanuel,1191,"70,52","93,49",2,F,LE PEN,Marine,83,"4,91","6,51"
51791,75.0,Paris,7,7eme circonscription,56,Paris,1115.0,1638,288,"17,58",1350,"82,42",50,"3,05","3,7",12,"0,73","0,89",1288,"78,63","95,41",1,M,MACRON,Emmanuel,1210,"73,87","93,94",2,F,LE PEN,Marine,78,"4,76","6,06"
51792,75.0,Paris,7,7eme circonscription,56,Paris,1116.0,1493,218,"14,6",1275,"85,4",65,"4,35","5,1",11,"0,74","0,86",1199,"80,31","94,04",1,M,MACRON,Emmanuel,1131,"75,75","94,33",2,F,LE PEN,Marine,68,"4,55","5,67"
51793,75.0,Paris,7,7eme circonscription,56,Paris,1117.0,1470,229,"15,58",1241,"84,42",46,"3,13","3,71",14,"0,95","1,13",1181,"80,34","95,17",1,M,MACRON,Emmanuel,1107,"75,31","93,73",2,F,LE PEN,Marine,74,"5,03","6,27"
51794,75.0,Paris,7,7eme circonscription,56,Paris,1118.0,1434,272,"18,97",1162,"81,03",42,"2,93","3,61",22,"1,53","1,89",1098,"76,57","94,49",1,M,MACRON,Emmanuel,1028,"71,69","93,62",2,F,LE PEN,Marine,70,"4,88","6,38"
51795,75.0,Paris,7,7eme circonscription,56,Paris,1119.0,1458,264,"18,11",1194,"81,89",56,"3,84","4,69",24,"1,65","2,01",1114,"76,41","93,3",1,M,MACRON,Emmanuel,1027,"70,44","92,19",2,F,LE PEN,Marine,87,"5,97","7,81"
51796,75.0,Paris,7,7eme circonscription,56,Paris,1120.0,1588,337,"21,22",1251,"78,78",47,"2,96","3,76",13,"0,82","1,04",1191,75,"95,2",1,M,MACRON,Emmanuel,1125,"70,84","94,46",2,F,LE PEN,Marine,66,"4,16","5,54"
51797,75.0,Paris,7,7eme circonscription,56,Paris,1121.0,1508,313,"20,76",1195,"79,24",69,"4,58","5,77",16,"1,06","1,34",1110,"73,61","92,89",1,M,MACRON,Emmanuel,1039,"68,9","93,6",2,F,LE PEN,Marine,71,"4,71","6,4"
51798,75.0,Paris,7,7eme circonscription,56,Paris,1122.0,1623,332,"20,46",1291,"79,54",52,"3,2","4,03",11,"0,68","0,85",1228,"75,66","95,12",1,M,MACRON,Emmanuel,1133,"69,81","92,26",2,F,LE PEN,Marine,95,"5,85","7,74"
51799,75.0,Paris,7,7eme circonscription,56,Paris,1123.0,1665,310,"18,62",1355,"81,38",67,"4,02","4,94",22,"1,32","1,62",1266,"76,04","93,43",1,M,MACRON,Emmanuel,1181,"70,93","93,29",2,F,LE PEN,Marine,85,"5,11","6,71"
51800,75.0,Paris,7,7eme circonscription,56,Paris,1124.0,1735,321,"18,5",1414,"81,5",72,"4,15","5,09",20,"1,15","1,41",1322,"76,2","93,49",1,M,MACRON,Emmanuel,1246,"71,82","94,25",2,F,LE PEN,Marine,76,"4,38","5,75"
51801,75.0,Paris,7,7eme circonscription,56,Paris,1125.0,1680,337,"20,06",1343,"79,94",78,"4,64","5,81",16,"0,95","1,19",1249,"74,35",93,1,M,MACRON,Emmanuel,1167,"69,46","93,43",2,F,LE PEN,Marine,82,"4,88","6,57"
51802,75.0,Paris,7,7eme circonscription,56,Paris,1126.0,1688,288,"17,06",1400,"82,94",60,"3,55","4,29",23,"1,36","1,64",1317,"78,02","94,07",1,M,MACRON,Emmanuel,1219,"72,22","92,56",2,F,LE PEN,Marine,98,"5,81","7,44"
51803,75.0,Paris,7,7eme circonscription,56,Paris,1251.0,1451,303,"20,88",1148,"79,12",57,"3,93","4,97",18,"1,24","1,57",1073,"73,95","93,47",1,M,MACRON,Emmanuel,966,"66,57","90,03",2,F,LE PEN,Marine,107,"7,37","9,97"
51804,75.0,Paris,7,7eme circonscription,56,Paris,1252.0,1240,242,"19,52",998,"80,48",56,"4,52","5,61",14,"1,13","1,4",928,"74,84","92,99",1,M,MACRON,Emmanuel,850,"68,55","91,59",2,F,LE PEN,Marine,78,"6,29","8,41"
